,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8DgdVAq1jS2eiUbZQ1kIuwmbEFw==',Hargrave,b'ZjVGSQnKdRZncZ9ft8PDdA0xntg2hd7wLT7XzfxeymLwgXPb5FXsig==',France,Female,42,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',0.0,1,1,1,101348.88,1
1,2,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/PpQHHJUp8/W3r1R6jwoCPCuXYw==',Hill,b'ZjVGSQnKdRZncZ9ft8PDdA0xmld7AtC8qw43p+oby7ybqcNONOBugw==',Spain,Female,41,b'ZjVGSQnKdRZncZ9ft8PDdA4QBxPYApxBZ5O1wgvkZFW1mqyX1a7PPw==',83807.86,1,0,1,112542.58,0
2,3,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8IDGc39/Zfjmn4sLaTy5Hob1Xaw==',Onio,b'ZjVGSQnKdRZncZ9ft8PDdA0PtWt/U7R0vDrX7tfcQ11pyJMkVTdtEA==',France,Female,42,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',159660.8,3,1,0,113931.57,1
3,4,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O4L0N8E3DpV1zHDc6Lwrc6ueLbg==',Boni,b'ZjVGSQnKdRZncZ9ft8PDdA0xsDicq9SdXTUlF+HEA/8fD2uQtBt1MQ==',France,Female,39,b'ZjVGSQnKdRZncZ9ft8PDdA4QBxPYApxBZ5O1wgvkZFW1mqyX1a7PPw==',0.0,2,0,0,93826.63,0
4,5,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O3lxK7Xj2R7zSl5p/A45w9JF+4A==',Mitchell,b'ZjVGSQnKdRZncZ9ft8PDdAziYzKBqnXbIwejnfRKmhNlH12ItCd7qw==',Spain,Female,43,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',125510.82,1,1,1,79084.1,0
5,6,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8yZVQD9Y/tjnCGxIGM1CWTmo1f+Q==',Chu,b'ZjVGSQnKdRZncZ9ft8PDdA0xihy5oLitLftz5lfoki7uohE/lW2m3g==',Spain,Male,44,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',113755.78,2,1,0,149756.71,1
6,7,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zrf9lzs6R5cF2GXjHbgnEnC9Arg==',Bartlett,b'ZjVGSQnKdRZncZ9ft8PDdAzif2gWlJhYFk5aIFsIifuiLlzho4F/Lw==',France,Male,50,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',0.0,2,1,1,10062.8,0
7,8,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/Lqq7n6hk5aF9CWw2Tb7OdIJzZg==',Obinna,b'ZjVGSQnKdRZncZ9ft8PDdA47zv0RDAS8aeMC9t10gEPmYmAzFxpQ0Q==',Germany,Female,29,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',115046.74,4,1,0,119346.88,1
8,9,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MkPwMjKg6oQpSm+NloxcGzd/D0w==',He,b'ZjVGSQnKdRZncZ9ft8PDdA0PtWrDz66L/Y4kfw+V8BGfNTpf38VEgw==',France,Male,44,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',142051.07,2,0,1,74940.5,0
9,10,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zrf8uE+/2x3i1fVpPXxTGq1X1Nw==',H?,b'ZjVGSQnKdRZncZ9ft8PDdA0xvF+EUoCUPQnu/+xxKCcaZJSgUmGUlQ==',France,Male,27,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',134603.88,1,1,1,71725.73,0
